epoch,train_loss_total,train_loss_coordinate,train_loss_bone,train_loss_symmetry,train_nme,train_pck_0.05,train_pck_0.10,train_pck_0.20,train_bone_length_error,train_seconds,monitor_loss_total,monitor_loss_coordinate,monitor_loss_bone,monitor_loss_symmetry,monitor_nme,monitor_pck_0.05,monitor_pck_0.10,monitor_pck_0.20,monitor_bone_length_error,monitor_seconds,learning_rate,batch_size,best_epoch,best_monitor_nme,epochs_without_improvement
23,0.017936202899015898,0.014237956289506257,0.010770517425524392,0.02011234665525827,0.1376167978325677,0.2550623906221973,0.5412247605136915,0.8150375140044918,0.075020412777393,181.277082554996,0.048124501959380596,0.04231865246790527,0.019920533749213452,0.016514295676401836,0.2145476982276731,0.19028917788847294,0.40345280413850576,0.6549393459606189,0.09832678440117543,19.700849287211895,0.001,8192,23,0.2145476982276731,0
24,0.01748476317040863,0.013823391916936602,0.010651224769817188,0.019971303231325715,0.1358255111051942,0.2597944928187306,0.5480773577816815,0.8195931848553839,0.07452527401292182,422.9437071979046,0.049433397384342805,0.043483918180336825,0.0201196487940241,0.01839137622105426,0.2163368369117946,0.19138474650743226,0.4028741040819024,0.6516261410459575,0.09784456577970614,11.466190874576569,0.001,8192,23,0.2145476982276731,1
25,0.017203048578038647,0.013601950346601995,0.010557791659632582,0.019233010884291843,0.13474558211944176,0.26325871270150675,0.5512381955226467,0.8225614384018489,0.07411214380164954,84.69550327211618,0.048733954963843557,0.04286560706982727,0.01997703383741507,0.01748173261575442,0.21585046445547787,0.19274537627208477,0.4042833305421171,0.6517454110792361,0.09532499687980135,9.2788942232728,0.001,8192,23,0.2145476982276731,2
26,0.01698631371669236,0.013410319288803409,0.01048808613538418,0.01907945775250726,0.1339165545921338,0.2653345553756789,0.5546771312184408,0.8244500866983852,0.07377009574800993,116.69930098205805,0.048138886367123074,0.0422568106723743,0.019886209579883102,0.018210434181986306,0.21294691821305559,0.1963678339115063,0.41127201300087896,0.6597368882084181,0.09675426191867884,17.874662533402443,0.001,8192,26,0.21294691821305559,0
27,0.016664888324646677,0.013106536977069393,0.010381124159031242,0.019261406905972795,0.13246002938277054,0.2693210937218665,0.5604404353176876,0.8285000913760059,0.0732831982628229,109.55138262361288,0.04995270615676404,0.04399153168114891,0.020163389911905194,0.018406564588214134,0.21761379236174216,0.19377468614282897,0.4048266996994658,0.6499253381706064,0.09770949445335415,8.991796128451824,0.001,8192,26,0.21294691821305559,1
28,0.016407029211906957,0.012888929361685857,0.010309799200765322,0.018813004641735215,0.13144402849567033,0.2737013984973124,0.5642042740764928,0.8307491520009078,0.07295213972354386,112.3659181445837,0.04986085946613432,0.04386818945077017,0.020075321576512952,0.019476807350647038,0.217198959930582,0.19228594444152544,0.4017255259445643,0.6497309642500437,0.09743186140974272,13.057259894907475,0.001,8192,26,0.21294691821305559,2
29,0.01617423612493391,0.012666201226439284,0.010220506836959986,0.019058161537577008,0.13046182880422366,0.27527643797072376,0.566906254719548,0.8332494166638089,0.0726257693235987,131.5576081201434,0.049739409389010135,0.043798790165100555,0.01997118283309007,0.018956480220391515,0.21646611174542385,0.19582003967790304,0.4051801096483244,0.6497442048676374,0.09660907415491699,16.27656276524067,0.001,8192,26,0.21294691821305559,3
30,0.015985698789235146,0.01250012312325708,0.010155695320919497,0.0189330352583985,0.1295806662705039,0.27789719588468237,0.5708201893421687,0.8354280079030374,0.0722714078121259,108.11634271591902,0.04805601329349566,0.04229871121057959,0.019747410525401195,0.01640899134231333,0.21330109862908486,0.19833367205895905,0.4109186032215926,0.6574750727953661,0.0971217228939386,14.281881257891655,0.001,8192,26,0.21294691821305559,4
31,0.015687027125664704,0.012248510085985006,0.010072189032242674,0.01840939067911578,0.12849700064447375,0.2810585658803214,0.5747448605305191,0.8382009877274891,0.07184486438343661,99.6769281104207,0.04919912984099464,0.04337988408234361,0.019820174304273665,0.01728405758433933,0.21527661642855592,0.19472004944786114,0.4061475698492568,0.6535875576864671,0.09738385271285842,12.825329929590225,0.001,8192,26,0.21294691821305559,5
32,0.015379125564420077,0.011988264281160902,0.0099835996253666,0.01789922522665957,0.12736648953687432,0.2846475839237811,0.5787636790099542,0.841159029296071,0.07152831201718586,103.01760856807232,0.04864430152434123,0.0427301351242037,0.019826995418405585,0.01914835267429711,0.21352498527397154,0.20248182723422506,0.4141743957233293,0.6566754908219318,0.09529522620383424,12.79653038829565,0.001,8192,26,0.21294691821305559,6
33,0.015148906245743061,0.011758778705829268,0.009908017100063218,0.01826246333772587,0.12619192178520877,0.2877519352299643,0.5831439797360763,0.8442789809197457,0.0711742961011965,113.95463567227125,0.04814825357951174,0.04234038077341367,0.019795411091111933,0.017180418001132004,0.21249036648048011,0.201792669511732,0.4135161632711926,0.6606424847525932,0.09589552675155609,20.999528005719185,0.001,8192,33,0.21249036648048011,0
34,0.015041105274011214,0.011686048676654645,0.009878140330055298,0.017710428379404588,0.12582673931713267,0.2889703340940526,0.5848712470676074,0.8450492885575178,0.07092527833722502,167.9599016085267,0.04803129750515256,0.04226389992838151,0.019938893327511958,0.015653499079492303,0.21219805411718443,0.2023758021214358,0.41676311935392896,0.6639557032514661,0.0955106988194421,12.973520800471306,0.001,8192,34,0.21219805411718443,0
35,0.015009681639446524,0.011658550942284079,0.009894163737083725,0.017551793337728785,0.12537666140398718,0.2913188964939616,0.5873908816788647,0.8469239402644693,0.07064590343684436,117.19956358522177,0.04899903823341581,0.0431918173588799,0.019894936259835266,0.01666973278696432,0.21462039850669268,0.19846178253120628,0.40889975263248296,0.6552971711966211,0.09629592664963284,12.496414311230183,0.001,8192,34,0.21219805411718443,1
36,0.014713047269096093,0.011364544455748167,0.009768317501607131,0.018128468428857635,0.12438895682683272,0.29233073143784305,0.5902026037189297,0.8491256594740492,0.07058726375374622,151.9902122542262,0.04736833576046401,0.04162220969889261,0.01962110650169196,0.0168169986566532,0.2094653088209381,0.2085604713042582,0.4242112250125757,0.6698532616969008,0.09426595658299815,10.277820840477943,0.001,8192,36,0.2094653088209381,0
37,0.014477374357618032,0.011188884321073048,0.009689893965981758,0.017320330437272394,0.12344396704129483,0.29600312700947506,0.5937372994337087,0.8510890785570095,0.07018550650772672,121.69739378243685,0.04802926758043775,0.04226780452497285,0.019753921439132655,0.016459636379495733,0.2115638861962009,0.20493359985960696,0.4189851827266538,0.6643488883264388,0.09558079665107079,16.13153525441885,0.001,8192,36,0.2094653088209381,1
38,0.014323821981182023,0.011058974009748817,0.009632300214146398,0.017135459732815782,0.12272241977037769,0.2977712826762002,0.5966426163358354,0.853110588622309,0.06990510171801047,155.83319653570652,0.04877959228017584,0.04298210706465268,0.01985226647464222,0.016688331132432704,0.21394503068869392,0.20006979407686287,0.41038406093006,0.6582393242142197,0.09645732390465132,11.068554237484932,0.001,8192,36,0.2094653088209381,2
39,0.01416353683586489,0.010917829134736939,0.009582694568441448,0.017000680989242217,0.12208140192775399,0.300069820001898,0.5987679435499997,0.8547566292319783,0.06971323603596605,102.13045899569988,0.04861639157938444,0.04282067294011193,0.01984170500281916,0.016705847124860167,0.21148690742231033,0.20690385926609556,0.4218698951270395,0.6670612988736517,0.09421323462366889,9.640169344842434,0.001,8192,36,0.2094653088209381,3
